samplename	MiFish_STD_01	MiFish_STD_02	MiFish_STD_03	MiFish_STD_04-2
RunID__Sample01__MiFish	5	10	20	40
RunID__Sample02__MiFish	5	10	20	40
RunID__Sample03__MiFish	5	10	20	40
RunID__Sample04__MiFish	5	10	20	40
RunID__Sample05__MiFish	5	10	20	40
RunID__Sample06__MiFish	5	10	20	40
RunID__Sample07__MiFish	5	10	20	40
RunID__Sample08__MiFish	5	10	20	40
RunID__Sample09__MiFish	5	10	20	40
RunID__Sample10__MiFish	5	10	20	40
RunID__Sample11__MiFish	5	10	20	40
RunID__Sample12__MiFish	5	10	20	40
RunID__Sample13__MiFish	5	10	20	40
RunID__Sample14__MiFish	5	10	20	40
RunID__Sample15__MiFish	5	10	20	40
RunID__Sample16__MiFish	5	10	20	40
RunID__Sample17__MiFish	5	10	20	40
RunID__Sample18__MiFish	5	10	20	40
RunID__Sample19__MiFish	5	10	20	40
RunID__Sample20__MiFish	5	10	20	40
RunID__Blank01__MiFish	5	10	20	40
RunID__Blank02__MiFish	5	10	20	40
RunID__Blank03__MiFish	5	10	20	40
RunID__Blank04__MiFish	5	10	20	40
